title,description,image,category
아이폰 15 프로 256GB 자연 티타늄,정품 미개봉 공기계입니다. 애플케어 미가입.,,디지털기기
갤럭시 S24 울트라 512GB,액정 무흠집 풀박스 구성품 전부 있습니다.,,디지털기기
아이패드 에어 5세대 64GB,인강용으로 쓰다가 정리합니다. 잔기스 조금 있어요.,,디지털기기
에어팟 프로 2세대,왼쪽 유닛만 한 번 교체했습니다. 충전 케이스 정상.,,디지털기기
맥북 에어 M2 8GB 256GB,사이클 40회 배터리 성능 98% 입니다.,,디지털기기
나이키 에어포스1 270 흰색,미착용 새제품입니다. 박스 있습니다.,,의류
아디다스 삼바 OG 265,두세 번 신었습니다. 밑창 깨끗해요.,,의류
노스페이스 눕시 패딩 100,작년에 구매하고 몇 번 안 입었습니다.,,의류
유니클로 히트텍 터틀넥 M,새상품 택 제거만 했습니다.,,의류
컨버스 척테일러 하이 260,오래 신어서 사용감 있습니다.,,의류
니콘 FM2 필름카메라 바디,수동 필름 카메라입니다. 셔터 정상 동작 확인했습니다.,,카메라
캐논 AE-1 프로그램 + 50mm,노출계 작동합니다. 가죽 케이스 포함.,,카메라
후지필름 X-T30 미러리스,셔터수 8천회 정도. 렌즈 별도입니다.,,카메라
올림푸스 뮤2 컴팩트 필름카메라,빈티지 감성 그대로. 플래시 정상.,,카메라
소니 A7M3 바디,풀프레임 미러리스. 스트랩 배터리 2개 포함.,,카메라
필립스 에어프라이어 5.5L,한두 번 쓰고 자리만 차지해서 팝니다.,,생활가전
다이슨 V11 무선청소기,헤드 3종 포함. 배터리 성능 양호합니다.,,생활가전
LG 퓨리케어 공기청정기,필터 교체한 지 얼마 안 됐습니다.,,생활가전
쿠쿠 6인용 전기밥솥,이사 가면서 정리합니다. 내솥 깨끗해요.,,생활가전
발뮤다 토스터,디자인 좋습니다. 사용감 거의 없습니다.,,생활가전
한국사 능력검정시험 심화 기본서,필기 약간 있습니다. 최신판입니다.,,도서
클린 코드 로버트 마틴,깨끗하게 봤습니다. 밑줄 없어요.,,도서
토익 RC 기본서 + 실전 모의고사,두 권 세트로 드립니다.,,도서
해리포터 전권 세트 양장본,보관만 했습니다. 상태 좋습니다.,,도서
